,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('RBF', '0.1', '0.01', 'Balanced')",54.360942363739014,53.26856994628906,56.01074004173279,53.54742383956909,53.34989547729492,0.9664113784806012,0.9654394728027034,0.964165635481455,0.9687989107585121,0.9668524466360939,0.9308295055390435,0.9174899123417282,0.907664284713465,0.9331693316933168,0.9257989301879029,0.8976,0.8814,0.8682,0.9022,0.8918
"('RBF', '0.1', '0.01', 'None')",38.49179720878601,37.7372829914093,35.90467691421509,34.941107988357544,37.2738151550293,0.955781281966867,0.955366956699668,0.9508099778928364,0.9595261817192562,0.9559751699420327,0.8969753157955731,0.8935972060535508,0.8984457169568774,0.8852497096399536,0.8918604651162791,0.8222,0.8172,0.8262,0.8024,0.814
"('RBF', '0.1', '0.1', 'Balanced')",34.59872031211853,34.51743745803833,33.410900354385376,35.92511296272278,35.721786975860596,0.9801609257180797,0.9792397666722982,0.979184983772401,0.9802979073703104,0.979801137102568,0.9475515119079476,0.9312242090784043,0.9334796324235358,0.94953067609849,0.9452871072589382,0.9216,0.9,0.903,0.9258,0.9192
"('RBF', '0.1', '0.1', 'None')",34.2390456199646,33.17963194847107,31.255064487457275,30.740899324417114,31.54570245742798,0.9767802988908494,0.9759490464494797,0.9752664799678705,0.9778470698591369,0.9765453536023048,0.9554759467758445,0.9546652609383236,0.9516405323494532,0.9506346967559943,0.9538183694530444,0.9304,0.9312,0.9266,0.923,0.9284
"('RBF', '0.1', '100', 'Balanced')",36.78248357772827,37.91481590270996,37.141376972198486,38.997591495513916,38.94684410095215,0.5,0.5,0.5,0.5,0.5,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', '100', 'None')",27.220030069351196,22.865047454833984,24.49683165550232,23.007020473480225,21.903310298919678,0.5,0.5,0.5,0.5,0.5,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', '10', 'Balanced')",45.315255641937256,46.37197256088257,45.18067526817322,47.159971475601196,52.638115644454956,0.9068531464045559,0.8666319353998436,0.8567066386618473,0.7839087358368575,0.8516711452375421,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', '10', 'None')",29.18784499168396,27.270804405212402,27.66716766357422,33.79235029220581,29.8240008354187,0.8422851442803237,0.4575065867129571,0.448670381647074,0.4089261803060334,0.5388876656032303,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', 'auto', 'Balanced')",34.21446967124939,32.03337860107422,32.441306591033936,33.87175893783569,31.495314359664917,0.9805070986061215,0.9795929127574359,0.9795477076933654,0.980552287477786,0.9800527203730429,0.9496595006008813,0.9354706124126593,0.9355412618037499,0.951179820992677,0.9467855213398163,0.9246,0.9058,0.9058,0.928,0.9212
"('RBF', '0.1', 'auto', 'None')",30.07067108154297,32.20193696022034,30.27732753753662,29.930912494659424,29.7180438041687,0.9781159626481516,0.9773050915184585,0.976800367970302,0.9790264484650633,0.9779261466322371,0.9573264781491002,0.9564872371379447,0.9525195080015871,0.9546157813305828,0.9560937702370159,0.9336,0.9342,0.9282,0.9296,0.9322
"('RBF', '0.1', 'scale', 'Balanced')",74.57351350784302,76.37743759155273,77.72868490219116,84.89769291877747,79.21192836761475,0.636430263345698,0.5909437548672573,0.5990598123604733,0.600705154023622,0.6535987619053598,0.6688251618871415,0.49882438053897626,0.5926781002638523,0.7300369423131571,0.7460227272727272,0.5704,0.4458,0.506,0.62,0.6424
"('RBF', '0.1', 'scale', 'None')",45.769789695739746,46.45354676246643,46.92563772201538,43.82992196083069,45.039889097213745,0.5690782155990406,0.48761913351771413,0.5022048368013721,0.5309228609989365,0.5747354788019794,0.8730838593327322,0.8691419515508264,0.8709021026452634,0.8650550448303257,0.8685908319185058,0.7748,0.7688,0.7716,0.7622,0.7678
"('RBF', '10000', '0.01', 'Balanced')",21.986369609832764,22.679648637771606,21.51879334449768,24.38914179801941,22.414660215377808,0.9815857100931507,0.9812843792986394,0.9796227852131659,0.9800916651651175,0.9810985174973699,0.9617099396800419,0.9474824038982134,0.9422161794697484,0.9589804858622063,0.9548369855692144,0.9416,0.9224,0.915,0.9382,0.9324
"('RBF', '10000', '0.01', 'None')",22.29248595237732,20.958534002304077,23.051203727722168,22.802706480026245,20.306347608566284,0.9819992389236705,0.9817135841657731,0.9803753695080343,0.9811555569687783,0.9812754330057519,0.9642353544417382,0.9588968443383719,0.9555496406707479,0.9526975198159039,0.9614731618127205,0.9442,0.938,0.9332,0.926,0.941
"('RBF', '10000', '0.1', 'Balanced')",17.573582649230957,19.480156660079956,17.856632709503174,16.980200052261353,17.079596281051636,0.961475608328402,0.952595859306061,0.9442791382186184,0.9576693394243236,0.9577819952481704,0.9411312043093497,0.9265460437483122,0.9196089082020641,0.9314853556485355,0.9383772222964843,0.9082,0.8912,0.8816,0.8952,0.9078
"('RBF', '10000', '0.1', 'None')",17.807613134384155,15.987223386764526,15.492287874221802,16.090205192565918,16.666141033172607,0.9658131935628795,0.959718236988844,0.951701636509022,0.9615965531495436,0.9620340215922126,0.9333499129569759,0.9381524008350731,0.9293142029748584,0.9259492872461209,0.94049008168028,0.8928,0.9052,0.8926,0.8826,0.9082
"('RBF', '10000', '100', 'Balanced')",38.216264963150024,36.87545585632324,38.561384201049805,35.74501967430115,38.10334897041321,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.8703117939448712,0.8651838402178846,0.0,0.2254,0.2322,0.7704,0.7624,0.2324
"('RBF', '10000', '100', 'None')",23.145612001419067,22.947980880737305,22.87672710418701,22.917256593704224,23.8787362575531,0.5,0.5,0.5,0.5,0.5,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
