,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('RBF', '0.1', '1', 'Balanced')",24.49675488471985,24.419913053512573,24.53717303276062,25.683849811553955,24.11284852027893,0.9817311897648292,0.9809345986463331,0.979790578947178,0.9817877533643535,0.981918517515308,0.959304622678783,0.9470835025037218,0.9433450799674707,0.9579158316633266,0.9552796689360565,0.9382,0.9218,0.9164,0.937,0.933
"('RBF', '0.1', '1', 'None')",24.633886098861694,23.06921076774597,22.955406665802002,23.84181046485901,22.47133183479309,0.9816597099891382,0.9817503795647328,0.9807019114917451,0.9811453994297646,0.9815848669747852,0.9637559654327357,0.9591511936339523,0.9562218094985407,0.9580591044005677,0.962799167533819,0.9438,0.9384,0.934,0.935,0.9428
"('RBF', '0.1', 'auto', 'Balanced')",28.110382318496704,27.51582384109497,27.536824226379395,27.50555682182312,27.14698815345764,0.9810667944138556,0.9804596238926886,0.979787865301884,0.9808477393734478,0.9808841559941844,0.9523809523809524,0.9388479388479388,0.940375714674653,0.953061775020232,0.9484175084175084,0.9284,0.9104,0.9124,0.9304,0.9234
"('RBF', '0.1', 'auto', 'None')",27.01058340072632,26.225291967391968,27.542892456054688,28.990153312683105,25.760133504867554,0.9800740961187628,0.9795947076549463,0.9790859357191705,0.9804354757791275,0.9798825316900746,0.9603832211289488,0.9550890247143237,0.9531790369779197,0.956996232298298,0.9585073068893529,0.9388,0.9324,0.9296,0.9338,0.9364
"('RBF', '0.1', 'scale', 'Balanced')",23.34002137184143,23.87863326072693,23.328914642333984,22.507381439208984,22.308565616607666,0.9816225954902217,0.9803494620579981,0.9792926250357297,0.981479935769023,0.9817725454038293,0.9600105235464352,0.9473541751251862,0.9434882775443826,0.9585167400293451,0.9559882635369431,0.9392,0.9222,0.9166,0.9378,0.934
"('RBF', '0.1', 'scale', 'None')",22.98577904701233,22.589323043823242,21.99202871322632,23.563511848449707,22.452351093292236,0.9806958785265362,0.9816330381400015,0.9805739178887116,0.9794947993400249,0.9813171393233173,0.9639639639639639,0.9602543720190779,0.956510209493503,0.9570141570141569,0.9628185127405097,0.944,0.94,0.9344,0.9332,0.9428
"('RBF', '100000.0', '1', 'Balanced')",529.5829191207886,912.2442111968994,637.8022744655609,688.2341456413269,531.0739238262177,0.9744375034222088,0.9785388591945532,0.9752551731124789,0.9618255394094848,0.9764422089459603,0.9621113143454404,0.9565217391304348,0.9403738572793013,0.9427159834423822,0.9605963791267305,0.942,0.9352,0.9126,0.9142,0.9408
"('RBF', '100000.0', 'auto', 'Balanced')",119.22061896324158,121.01990580558777,146.0616147518158,114.09251427650452,121.35344910621643,0.9799180777622065,0.9853890855423473,0.9840283883479689,0.9744211086026406,0.9829591574068177,0.9627304825421733,0.9548699986528358,0.9423155597981726,0.952836455427129,0.9558803808502079,0.943,0.933,0.9154,0.929,0.9342
"('RBF', '100000.0', 'auto', 'None')",98.17176556587219,89.60688352584839,96.6795425415039,100.72511053085327,87.90222191810608,0.9751319111148989,0.9851950122490538,0.9848384114682268,0.9706009906691964,0.9793623238580766,0.9672006102212053,0.9676823638042473,0.9626193001060446,0.9543706741861061,0.9688680474143545,0.9484,0.951,0.9436,0.9288,0.9522
"('RBF', '100000.0', 'scale', 'Balanced')",750.0540487766266,691.9321916103363,855.6706883907318,1055.986722946167,687.4845852851868,0.9740152687215728,0.9783470295231473,0.9738965413686179,0.9697892708123559,0.9754910358324534,0.9644670050761422,0.956732061273851,0.9411925228544139,0.9564988829018268,0.9609872611464967,0.9454,0.9356,0.9138,0.9338,0.9412
"('RBF', '10000.0', '1', 'Balanced')",78.85891389846802,75.90918922424316,80.9768009185791,86.22013735771179,73.5870885848999,0.9774724155650876,0.9803234360440999,0.9794337345910176,0.9541917072084964,0.9799354493833294,0.9667752442996744,0.9549428379287156,0.9392945036915503,0.9216489216489216,0.9608417687799681,0.949,0.933,0.9112,0.8852,0.9412
"('RBF', '10000.0', '1', 'None')",68.20847368240356,66.39027667045593,74.06648111343384,69.33287048339844,67.00018978118896,0.9734354119514643,0.9819828187923078,0.9814529128268586,0.9642690899904961,0.9786526437769241,0.9675366008911522,0.9688654353562004,0.963041462445357,0.9529426849596101,0.9708257358687158,0.949,0.9528,0.9442,0.9266,0.9552
"('RBF', '10000.0', 'auto', 'Balanced')",34.66323804855347,36.65814137458801,36.281548261642456,38.86814785003662,36.87142276763916,0.9800979227106597,0.9853235717832239,0.9844024191243247,0.9776991230952407,0.9836513477418944,0.9644630258688268,0.9530870854677811,0.9424911420005452,0.9556768268334886,0.9573700387545102,0.9456,0.9304,0.9156,0.9334,0.9362
"('RBF', '10000.0', 'auto', 'None')",31.638253211975098,32.060752153396606,32.51906228065491,33.52148461341858,32.7240948677063,0.9748892922608711,0.9850067723726682,0.9839261743752286,0.9687068304591915,0.980055635330722,0.9661405295315681,0.966728280961183,0.9619514781917009,0.9537084398976983,0.9679937548790007,0.9468,0.9496,0.9426,0.9276,0.9508
"('RBF', '10000.0', 'scale', 'Balanced')",94.47892045974731,86.27142715454102,95.52461981773376,107.38596630096436,96.58154368400574,0.9748462211139801,0.9788944732637677,0.9770977382671021,0.9667360470744522,0.9776303905415453,0.9656702780315884,0.9560424788277996,0.9403575815477003,0.9499535377671579,0.9608521970705726,0.9474,0.9346,0.9126,0.9246,0.9412
"('RBF', '1000', '0.01', 'None')",20.639567136764526,19.488564491271973,21.05523109436035,20.470865488052368,19.724353790283203,0.983280605543669,0.983009948892537,0.9821835618222671,0.9828035072657318,0.9825093570141505,0.9662690778504553,0.9599787967134905,0.9570764119601328,0.9547314578005116,0.9635036496350364,0.9474,0.9396,0.9354,0.9292,0.944
"('RBF', '1000', '0.1', 'None')",23.60657048225403,21.303141832351685,21.11315941810608,21.482856273651123,21.397128105163574,0.9760254083110362,0.983870153524315,0.9828475003708649,0.9753827625679671,0.979564577075517,0.9662205226258764,0.9643423137876387,0.9576192374119835,0.9536305732484077,0.9671704012506513,0.947,0.946,0.9362,0.9272,0.9496
"('RBF', '1000', '100', 'None')",67.92625761032104,65.6195228099823,63.147496938705444,66.60938215255737,68.48394703865051,0.8840653022735381,0.9399409344101821,0.9123476740441637,0.8418272441095106,0.9018441816099357,0.9526709808399949,0.9510252056941361,0.9346508563899869,0.9339117121714723,0.9443011861784424,0.9254,0.925,0.9008,0.8964,0.9136
"('RBF', '1000', '10', 'None')",51.39770698547363,53.14086723327637,53.14389252662659,49.740814208984375,48.73345351219177,0.9663857190739429,0.9790380650645861,0.9689210727220757,0.9512201854148339,0.9710188180698676,0.9599692070823711,0.9672650475184793,0.9561531328652801,0.9446686629345137,0.9636886102403345,0.9376,0.9504,0.9338,0.915,0.9444
"('RBF', '1000', '1', 'Balanced')",29.194535493850708,29.808340072631836,29.95394253730774,30.587258338928223,28.936712741851807,0.9800695140818596,0.9840265339698938,0.9833924908007425,0.9732733066940833,0.9810236255077632,0.9676830857440709,0.9555615405332614,0.940276069427361,0.9554730983302411,0.9597862391449566,0.9504,0.934,0.9126,0.9328,0.9398
"('RBF', '1000', 'auto', 'Balanced')",24.65577459335327,24.538208484649658,24.716466426849365,26.25162172317505,23.11754274368286,0.9806120272512064,0.9849506818254736,0.9837224248410708,0.9800410982861141,0.9836190589799083,0.9655442443226312,0.9524579124579124,0.9439391882720238,0.9590782677791021,0.9563009488173193,0.9472,0.9294,0.9174,0.9382,0.9346
"('RBF', '1000', 'auto', 'None')",23.345905542373657,23.19671893119812,21.99431347846985,22.04390573501587,23.944193601608276,0.9749463386203168,0.9840815027061445,0.9829334324718415,0.9715796474715678,0.9795121078372897,0.966377992868059,0.9655536492015309,0.9589586930535264,0.953755748594788,0.9667838999609223,0.9472,0.9478,0.9382,0.9276,0.949
"('RBF', '1000', 'scale', 'Balanced')",32.39684581756592,31.18112874031067,31.978134393692017,31.878715753555298,32.80174398422241,0.9787182713990861,0.981731981865253,0.9808968416786972,0.9703622885023725,0.9812187034447625,0.9678343534314364,0.9550712940543449,0.9401312192454894,0.9516985138004246,0.960682393709183,0.9506,0.9332,0.9124,0.9272,0.941
"('RBF', '1000', 'scale', 'None')",30.733985662460327,29.02803087234497,30.079021453857422,30.91652488708496,30.848575115203857,0.9734324336274771,0.9836868496160827,0.9829969769991426,0.9657819008553532,0.9782389440139775,0.9676844783715013,0.9677930306230201,0.9634533898305084,0.9544813437620208,0.970967321963286,0.9492,0.9512,0.9448,0.929,0.9554
"('RBF', '1000.0', '1', 'None')",28.899285078048706,27.284985303878784,28.978759050369263,28.41192650794983,27.91373085975647,0.9739554731399852,0.9846051640547543,0.9841125113520827,0.9624193138096602,0.9767781017616209,0.96709439715411,0.9679461812425801,0.9638362697045967,0.9543069243568413,0.9703511053315994,0.9482,0.9514,0.9454,0.9286,0.9544
"('RBF', '100', '0.01', 'None')",19.448835372924805,19.077885389328003,21.380986213684082,21.413668870925903,20.277611017227173,0.982527547778617,0.9822199696258469,0.9812441882763288,0.9820355089898637,0.9818821926580735,0.9651894669235709,0.9588750331652959,0.9565332978864814,0.9537084398976983,0.9629533002869815,0.9458,0.938,0.9346,0.9276,0.9432
