,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('RBF', '0.1', '0.01', 'Balanced')",45.101972341537476,45.95446991920471,46.56888222694397,45.89269185066223,46.82395839691162,0.91584195729954,0.9213489372748386,0.9155025128355423,0.9243735889853414,0.9203046085929365,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', '0.01', 'None')",27.832234621047974,24.144725799560547,25.481916189193726,25.066449642181396,30.60968565940857,0.9495994268788241,0.9527762465058394,0.9472453786620644,0.9556243618415706,0.9513785059092918,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '0.1', '0.1', 'Balanced')",29.881606340408325,30.510536670684814,30.142852783203125,31.162487506866455,34.14211964607239,0.9711015514547853,0.97216248578946,0.9713902638025045,0.972900789991556,0.97203950171265,0.9090656284760845,0.8912109934154023,0.8796296296296298,0.910997732426304,0.8985795454545454,0.8692,0.848,0.8336,0.8744,0.8572
"('RBF', '0.1', '0.1', 'None')",25.86463761329651,23.521936893463135,24.473509788513184,23.80712866783142,23.7318058013916,0.944606381265334,0.9483628178903716,0.9419187190870573,0.9510185803470168,0.9468035919453889,0.921926706704253,0.9238439486476381,0.9186470514271344,0.9178720274577102,0.9200297103243378,0.8726,0.8778,0.8706,0.866,0.8708
"('RBF', '0.1', '10', 'Balanced')",31.024970531463623,32.3102810382843,31.795801162719727,34.58961582183838,39.43091344833374,0.9793162272149625,0.9853448861911579,0.9850588951483641,0.9781540041902056,0.9823736993683061,0.9628563955009155,0.9532155858163678,0.9413849509269356,0.9553346587143804,0.953862660944206,0.9432,0.9306,0.914,0.9326,0.9312
"('RBF', '0.1', '10', 'None')",28.773746728897095,27.419859886169434,27.709370613098145,27.333357572555542,27.217894077301025,0.9764641383445238,0.9851579924879053,0.9845946356659828,0.9711477312474165,0.9799912820342638,0.9652184991718691,0.9672477548864237,0.9617066383993639,0.9527710226545502,0.9681280083257447,0.9454,0.9504,0.9422,0.9262,0.951
"('RBF', '0.1', '1', 'Balanced')",17.110432147979736,17.051263332366943,18.326698541641235,17.857005834579468,16.144914388656616,0.9819616662210636,0.9813658227731661,0.9800436263708431,0.9825341116658011,0.982180863706445,0.9605885444035734,0.9474539544962081,0.9427911401005571,0.9593949044585987,0.9558136430383126,0.94,0.9224,0.9158,0.9388,0.9338
"('RBF', '0.1', '1', 'None')",16.617039680480957,16.15814995765686,16.504639625549316,16.844062566757202,15.577461004257202,0.9816134314164152,0.9822796499680619,0.9806392715128751,0.9821823516734324,0.9819382495365218,0.9658624229979466,0.9605088788762258,0.9569148936170212,0.9560988096761808,0.9635606454971369,0.9468,0.9404,0.9352,0.9314,0.944
"('RBF', '0.1', 'auto', 'Balanced')",24.324678897857666,23.371471405029297,24.090280055999756,27.40297269821167,25.61956262588501,0.9771514438800138,0.9765402408169117,0.975967278865045,0.9779919251981162,0.9774178228584702,0.932627003531649,0.9161073825503356,0.9118967452300786,0.9336105336105336,0.9277125086385625,0.9008,0.88,0.8744,0.9042,0.8954
"('RBF', '0.1', 'auto', 'None')",23.415954113006592,25.11773920059204,27.775588274002075,23.62167000770569,23.42307758331299,0.968946848601024,0.9700972318417511,0.9682336159142633,0.9701772446394692,0.9690895645411992,0.9473276529821844,0.9458167330677292,0.9404872853148716,0.9453409682457053,0.9457831325301205,0.9184,0.9184,0.9106,0.916,0.9172
"('RBF', '0.1', 'scale', 'Balanced')",17.81027865409851,15.690290451049805,19.855225801467896,16.26928400993347,15.70533800125122,0.982681733320412,0.982719848582446,0.9810929025511884,0.983098296713197,0.9828553400679321,0.9625065547981122,0.9485930735930737,0.9425037379366589,0.9603500861954648,0.9560454241816967,0.9428,0.924,0.9154,0.9402,0.9342
"('RBF', '0.1', 'scale', 'None')",16.874691247940063,15.908344030380249,17.40665578842163,17.560338258743286,16.285855054855347,0.9822118454359821,0.9831008155789924,0.9811170992217265,0.9827361583657492,0.9822384901774894,0.9657289002557544,0.9611663353214048,0.9567646667553545,0.9549457562220804,0.9644762524398178,0.9464,0.9414,0.935,0.9294,0.9454
"('RBF', '10000', '0.01', 'Balanced')",18.658705472946167,18.071767330169678,17.686250686645508,19.079447031021118,19.542400121688843,0.9797089077775725,0.9782992403769375,0.97677029173496,0.9807558798901924,0.9803191026594279,0.9576013736626602,0.9432884536923705,0.9408243776356958,0.9567430025445294,0.9524192467497655,0.9358,0.9166,0.913,0.9354,0.929
"('RBF', '10000', '0.01', 'None')",16.74800992012024,18.870673179626465,16.803865671157837,17.723227739334106,16.03988552093506,0.9798917310500127,0.980154715678138,0.9788258780451624,0.9807402019495408,0.9804415308819586,0.9633074935400517,0.9571694599627562,0.9548661962455066,0.9594612096878643,0.9605022233847763,0.9432,0.9356,0.9322,0.9374,0.9396
"('RBF', '10000', '0.1', 'Balanced')",19.15484118461609,19.778196573257446,19.87718415260315,21.414519786834717,20.021966218948364,0.9814184657461812,0.9849951055388517,0.9837348623820016,0.9813063743415267,0.983881405171045,0.9639215686274508,0.951417004048583,0.9438477226376615,0.9591620259878016,0.9555674518201284,0.9448,0.928,0.9174,0.9384,0.9336
"('RBF', '10000', '0.1', 'None')",15.073935508728027,12.296619653701782,13.916085720062256,14.18132209777832,13.631036520004272,0.9772387316830211,0.9844759314340177,0.9837477521971483,0.9741848354125374,0.9798502429280884,0.9657978385251114,0.9659540775930324,0.9600848693807188,0.9532186105799872,0.9668271107063874,0.9462,0.9484,0.9398,0.9266,0.949
"('RBF', '100000', 'scale', 'None')",1920.3882853984833,1517.96160531044,972.7544622421265,2046.7282173633575,1583.818815946579,0.972501134626888,0.9808659438165668,0.980983678328105,0.953533012885059,0.9802917469027453,0.960796833099221,0.965571824297586,0.9593085106382978,0.9363636363636365,0.9669356938297319,0.9386,0.9478,0.9388,0.902,0.9492
"('RBF', '10000', 'auto', 'Balanced')",22.123446464538574,24.209959983825684,24.630755186080933,24.877304315567017,22.31790328025818,0.9795276882180481,0.9853365847901729,0.9845532525752494,0.9798160867153523,0.9825813340460778,0.9622937941869599,0.9526762842119455,0.9432421396488363,0.9570519618239661,0.9537471510926397,0.9424,0.9298,0.9166,0.9352,0.931
"('RBF', '10000', 'auto', 'None')",22.052860736846924,22.961719274520874,21.761147260665894,21.949401378631592,20.69959259033203,0.9773661123089319,0.9848510650136557,0.9848479092267559,0.9712444486841129,0.9799782768384638,0.9664292980671415,0.9672823218997362,0.9611354291020029,0.9536457668241604,0.9669442998438313,0.9472,0.9504,0.9414,0.9274,0.9492
"('RBF', '100000', '0.1', 'None')",23.53693413734436,22.053861618041992,18.5697021484375,17.711234092712402,19.084224224090576,0.9764416863636979,0.9851535052441297,0.984551217341279,0.9709430347546821,0.9799213230499606,0.965227359572029,0.9672477548864237,0.9617066383993639,0.9530149788759442,0.9681362986084017,0.9454,0.9504,0.9422,0.9266,0.951
"('RBF', '1000', '0.01', 'Balanced')",21.430275917053223,20.345397233963013,20.826632261276245,22.521324157714844,47.20529556274414,0.9784687794897031,0.977374868159169,0.9764417145172788,0.9792527849322183,0.9789311343490539,0.9458880257165818,0.9309301045679692,0.9294765840220385,0.9479564032697548,0.9434269434269434,0.9192,0.8996,0.8976,0.9236,0.9166
"('RBF', '1000', '0.01', 'None')",20.02685832977295,19.926532745361328,23.922293424606323,19.913694143295288,21.14428210258484,0.9772233818593953,0.9779400365127027,0.9768044384382428,0.9781345723764402,0.9775339727106146,0.9576767808308373,0.950420954162769,0.9459857927891704,0.9553805774278215,0.9538502109704642,0.935,0.9258,0.9194,0.932,0.93
"('RBF', '1000', '0.1', 'Balanced')",19.244740962982178,17.366327047348022,17.18176293373108,17.43866515159607,16.82673716545105,0.983430667252251,0.9838358261094317,0.9824456547302456,0.9835092354111242,0.9835179323711882,0.962914427991089,0.9497297297297297,0.9418810398802232,0.9607531158843808,0.955614973262032,0.9434,0.9256,0.9146,0.9408,0.9336
