,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('RBF', '0.1', '0.05', 'Balanced')",50.465667963027954,50.528247594833374,49.16024398803711,49.3756959438324,50.247124910354614,0.9013823371793765,0.9119274985883683,0.915045599285752,0.907027173086991,0.9115660740979313,0.8769483182936834,0.9050131926121371,0.7909987669543773,0.9035897435897435,0.8717875905154053,0.82,0.856,0.7288,0.8496,0.8194
"('RBF', '0.1', '0.1', 'Balanced')",48.051748275756836,46.060478925704956,46.23728060722351,45.27007484436035,46.00922989845276,0.9094043694987699,0.9193330321852062,0.9222973599907076,0.9147299860953957,0.9192973719494905,0.88170865279299,0.9101418812401472,0.7773266708307308,0.909878903760357,0.8713835577198511,0.8272,0.8632,0.7148,0.8586,0.8204
"('RBF', '0.1', '0.5', 'Balanced')",37.71514010429382,41.066089391708374,39.66442036628723,39.27382516860962,41.1194908618927,0.9216687981974401,0.9306035008469791,0.9338019382474305,0.928522452839748,0.9323019684998024,0.8958785249457701,0.9194411803107454,0.7735552763819096,0.9177038354076708,0.8807339449541285,0.8464,0.8766,0.7116,0.8704,0.8336
"('RBF', '0.1', '1', 'Balanced')",38.987712144851685,39.06249928474426,36.923500776290894,36.72833871841431,37.717748403549194,0.9254660807975548,0.9347988706945228,0.9363305353124984,0.9331383311097226,0.9357432548337296,0.900405953991881,0.9227758935559615,0.7884615384615385,0.9216133942161339,0.885072277086017,0.8528,0.8816,0.7272,0.8764,0.8394
"('RBF', '0.1', '5', 'Balanced')",34.82429599761963,36.46236991882324,34.91809678077698,33.88859033584595,33.110429525375366,0.9269428276079209,0.9382755505364201,0.9169950268862471,0.9286174770179971,0.9429159562960135,0.912379421221865,0.9318949831037171,0.829997012249776,0.9274736441000889,0.8962868117797694,0.8692,0.8952,0.7724,0.8858,0.8542
"('RBF', '0.1', 'auto', 'Balanced')",41.956851959228516,43.5953586101532,41.56004190444946,41.28231620788574,43.59392952919006,0.9157116572907177,0.9247889328063242,0.9283701626004527,0.9212015379505626,0.9257913558248059,0.888888888888889,0.9152719665271967,0.7695453830423157,0.9133138723188221,0.8732394366197184,0.8368,0.8704,0.707,0.8634,0.8236
"('RBF', '0.1', 'scale', 'Balanced')",33.84711956977844,33.54000520706177,36.30624794960022,34.79604887962341,35.14811396598816,0.9282017774830477,0.9402464144551101,0.9229134148523519,0.9366123430102624,0.9424116223056969,0.9112362563689996,0.9302506819067412,0.8221486608486307,0.9265508055308893,0.8935442496793501,0.8676,0.8926,0.7636,0.8842,0.8506
"('RBF', '10000', '0.05', 'Balanced')",26.654125690460205,27.300842761993408,28.695850372314453,28.536584854125977,29.68283462524414,0.9400097149507147,0.9500426877470355,0.943722735448539,0.9455153429145626,0.9490336041785549,0.9157205823427275,0.9363966770508825,0.8735336194563663,0.9325310459608245,0.8900988680326695,0.8738,0.902,0.8232,0.8946,0.8466
"('RBF', '10000', '0.1', 'Balanced')",29.98277187347412,27.40945816040039,30.086209058761597,28.146223306655884,30.311262607574463,0.9340402678205726,0.9506206662902316,0.9370877169107633,0.9434761510704294,0.9481091741963039,0.9174092299507914,0.9377754731656729,0.8769383980651586,0.9348717948717947,0.8939393939393939,0.8758,0.904,0.827,0.8984,0.8516
"('RBF', '10000', '0.5', 'Balanced')",43.52870059013367,43.96771860122681,44.40208172798157,45.68614101409912,49.954233169555664,0.9198435298521118,0.9151216261998871,0.9294831393642562,0.8909996115717832,0.9418654975161824,0.9117959617428267,0.9159719465396322,0.8886068809926677,0.9042694245558208,0.8946242692143163,0.8672,0.873,0.842,0.8556,0.8522
