,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.0001')",4325.501913070679,4075.4695603847504,5141.0862028598785,4188.2854969501495,3893.1731367111206,0.9222381351752733,0.9317994353472614,0.93162730353314,0.9290567949605661,0.9309425641259028,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9219619515982918,0.8714,0.8602,0.8272,0.8376,0.8794
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.0001')",4153.503569841385,4166.255863189697,4286.275359630585,4177.393881082535,3893.8149511814117,0.9351002283849312,0.9433474872953135,0.9429726560074742,0.9414860475458655,0.9455706566450434,0.9315796130011383,0.919435928877989,0.9047946146448688,0.9098567818028642,0.9308985811875986,0.8918,0.8686,0.8614,0.8502,0.8948
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.001')",5322.6043293476105,3920.7935922145844,3900.86101102829,4236.4329226017,4455.081266641617,0.9222125939568548,0.9318021456804064,0.9316279908386755,0.9290599474214558,0.9309327181260918,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9218426501035196,0.8714,0.8602,0.8272,0.8376,0.8792
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.001')",4007.6863725185394,4749.741770982742,4308.585022926331,4179.242475509644,4088.1807107925415,0.9359168507956321,0.9428921513269339,0.9432590333139284,0.9401034682699181,0.9448431466590116,0.9309430627446029,0.9199213952345862,0.9075492341356673,0.9093963758550342,0.9308671126852945,0.8906,0.8696,0.8648,0.849,0.8946
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.01')",4295.821156740189,4131.212279081345,3903.2544617652893,4199.6776711940765,4393.857321023941,0.9222177022005384,0.9317854319593449,0.9316376131161723,0.9290606229487893,0.9309176209263818,0.9199101796407185,0.9147872729489211,0.8786728525235485,0.9032872796569795,0.9217031189336095,0.8716,0.8602,0.8274,0.8376,0.879
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.01')",4273.680334806442,4091.750124692917,4223.592305898666,4626.586403131485,4174.851792097092,0.9343532638426437,0.9433178994918126,0.9433648783663939,0.9404137604917838,0.9461546338338311,0.9307054983680644,0.9208810139042697,0.9038725624828343,0.9084372003835092,0.931686810299527,0.8896,0.8714,0.86,0.8472,0.896
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.1')",4039.3023903369904,4266.408784627914,4316.070589065552,4077.5221903324127,4116.767233133316,0.922268784637375,0.9317913043478261,0.9316353220977206,0.9290815642961288,0.9309222157262933,0.9198901921637136,0.9147872729489211,0.8785493393308967,0.903179707038228,0.9218426501035196,0.8716,0.8602,0.8272,0.8374,0.8792
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.1')",4383.490315914154,4236.519735097885,4284.157945871353,4308.428259372711,4928.247240781784,0.9344654130107897,0.9424808582721627,0.9436430080064222,0.9411566153828832,0.9466414638244839,0.931520644511581,0.9205412054120542,0.9052256206281717,0.908981892313227,0.9325282226306117,0.8912,0.8708,0.8618,0.8482,0.8972
"('0.01', '1000', 'None', 'YandYZ', 'None', '1')",3831.543462753296,4127.230532407761,4586.527418375015,4570.0044095516205,4036.4819247722626,0.9224220319478847,0.9317079616036137,0.9316470062918238,0.9289284447671964,0.9308867701269741,0.9197353638746723,0.9142300194931773,0.8788645306351883,0.9027265150613168,0.9216219717579999,0.8714,0.8592,0.8276,0.8366,0.879
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '1')",4392.453419923782,4079.2238278388977,5614.666383504868,3951.7346444129944,4221.063469171524,0.9354287813309483,0.9429470355731226,0.9418351653462382,0.9410793800910835,0.9462662218316886,0.9318897142137732,0.9196417617470248,0.903748455306879,0.9078931608575876,0.9309576837416481,0.8918,0.869,0.8598,0.8462,0.8946
