,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.0001')",4201.904232263565,4264.186038017273,4129.770625114441,4045.689244031906,4326.5820779800415,0.9222295440381688,0.93179604743083,0.9316238670054626,0.9290581460152332,0.9309421265259111,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9219619515982918,0.8714,0.8602,0.8272,0.8376,0.8794
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.0001')",4053.4135851860046,4214.826443910599,4552.5806040763855,3961.2770352363586,3945.5360600948334,0.9351162496946663,0.9439503105590064,0.9427882290221179,0.9412093065148983,0.9452643366509247,0.9317635143689075,0.9198623402163224,0.9050233324183365,0.9121157323688969,0.9326872708224202,0.8922,0.8696,0.8616,0.8542,0.8972
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.001')",4062.800276517868,4518.448708057404,4363.98428606987,5061.805666446686,4239.183336496353,0.9222204885152749,0.9318001129305478,0.9316234088017723,0.9290585963667888,0.9309364377260204,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9219619515982918,0.8714,0.8602,0.8272,0.8376,0.8794
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.001')",3983.5865030288696,4084.764072418213,4102.303962945938,4158.764545917511,5518.269689321518,0.9356732804490796,0.9431089779785433,0.9436056644056605,0.9400210539352283,0.9452282346516179,0.9314791403286977,0.9207324566793659,0.9066739756064136,0.9091999520211107,0.9305865371998425,0.8916,0.871,0.8638,0.8486,0.8942
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.01')",4042.313975572586,4077.387357234955,4143.633167266846,4960.936394691467,4150.204249620438,0.9222014486979087,0.931790175042349,0.9316389877272433,0.9290727824407928,0.9309023049266757,0.9199101796407185,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9215838509316769,0.8716,0.8602,0.8272,0.8376,0.8788
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.01')",4366.6490252017975,4270.5824155807495,4209.737547636032,4080.9923005104065,4245.229168653488,0.9343904147057975,0.9437542631281761,0.9432058816858506,0.9404536166044617,0.9457933950407668,0.9310865191146881,0.9176990065006746,0.9054017000274198,0.9077402348430386,0.930672268907563,0.8904,0.8658,0.862,0.846,0.8944
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.1')",4377.090405225754,4114.510593414307,4201.052926778793,3949.7127475738525,4661.916432380676,0.9222295440381688,0.9317655561829474,0.9316185976630238,0.9290833657023514,0.9309058057266084,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9217031189336095,0.8714,0.8602,0.8272,0.8376,0.879
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.1')",4241.608814001083,4253.726766824722,5073.981088399887,4405.086806774139,4268.0752389431,0.9350927982123004,0.9426466403162055,0.9430285568576939,0.941003270678173,0.9458747886392042,0.9309868007542427,0.9192698762709788,0.9056035073297712,0.9078506462422212,0.931107020773074,0.8902,0.8682,0.8622,0.846,0.8952
"('0.01', '1000', 'None', 'YandYZ', 'None', '1')",4356.1486258506775,3991.850515604019,4715.96561050415,4087.0789308547974,4276.858790397644,0.9224185490544641,0.9316162619988707,0.9316852662999663,0.9288440038505059,0.9308012193286166,0.9196004993757803,0.9142300194931773,0.878391677210741,0.9028952698677469,0.9220207253886011,0.8712,0.8592,0.827,0.837,0.8796
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '1')",4310.8184180259705,4458.159591436386,5064.513465881348,4031.2680580615997,3842.576986312866,0.9344261724115833,0.9428036137775268,0.9432643026563672,0.9402529849864051,0.9458098050404518,0.9309823677581864,0.9193766106270709,0.9018852346222651,0.9058360186179735,0.931355820973881,0.8904,0.8686,0.8574,0.8422,0.8954
