,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.0001')",3958.2290081977844,4504.002446889877,4469.497798442841,3991.2549965381622,4446.594396114349,0.9222314015813265,0.9317998870694524,0.9316208886814754,0.9290534173238985,0.9309423453259069,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9219619515982918,0.8714,0.8602,0.8272,0.8376,0.8794
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.0001')",4136.764783382416,4588.598146677017,4537.118114233017,4409.112403392792,4352.235481500626,0.9353472816249045,0.9436397515527951,0.9431062223832045,0.9407485968734344,0.9452393934514036,0.9319331983805669,0.9191311817400908,0.9051475634866163,0.9090254440710513,0.9297368421052632,0.8924,0.8682,0.8618,0.8484,0.8932
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.001')",4211.1058349609375,4324.1941702365875,3970.9753272533417,4332.381011247635,5075.510601043701,0.9222283830736953,0.9317867871259176,0.9316234088017721,0.9290561194332326,0.9309427829258986,0.9197754210854647,0.9147872729489211,0.8785493393308967,0.9032872796569795,0.9219619515982918,0.8714,0.8602,0.8272,0.8376,0.8794
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.001')",4321.459394693375,3816.6890313625336,4968.418172597885,3937.3475687503815,4258.930472373962,0.9360733488066678,0.9436634669678148,0.9429222536015383,0.9406841966009718,0.9454925450465432,0.9329792615073343,0.9200147438260229,0.904245088611073,0.9094620557156581,0.9310208908159243,0.894,0.8698,0.8606,0.8492,0.895
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.01')",4412.229823589325,3809.5178406238556,4083.8349657058716,5313.894877195358,4007.117558479309,0.9222116651852761,0.9317874647092038,0.931637154912482,0.9290761600774604,0.9309119321264909,0.9199101796407185,0.9146757679180888,0.8785493393308967,0.9032872796569795,0.9217233794798808,0.8716,0.86,0.8272,0.8376,0.879
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.01')",4136.699737787247,4001.878676891327,4127.983123779297,4958.574771165848,4134.25594329834,0.9344853815997347,0.943316092603049,0.9432313119906637,0.9414948294012013,0.9454413458475261,0.9312649766679277,0.9193034093696346,0.9057534246575343,0.9095489443378119,0.9310933193332459,0.891,0.8684,0.8624,0.8492,0.895
"('0.01', '1000', 'None', 'YandYZ', 'None', '0.1')",4678.914227724075,4228.752875804901,4322.264582633972,4047.8694291114807,4174.821798324585,0.9222283830736951,0.9317894974590626,0.9316220341907011,0.9290644509370126,0.9309200277263354,0.9199101796407185,0.9146757679180888,0.878706957132818,0.9032872796569795,0.9218426501035196,0.8716,0.86,0.8274,0.8376,0.8792
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '0.1')",4032.304990530014,4087.298736333847,5175.323265075684,4238.8943865299225,4282.558735370636,0.9343862352336928,0.9432921513269339,0.9432281045648313,0.940970620190386,0.9460211658363935,0.931230283911672,0.9192638036809816,0.9064255377448964,0.9102918217845563,0.9313057157839538,0.891,0.8684,0.8634,0.8506,0.8952
"('0.01', '1000', 'None', 'YandYZ', 'None', '1')",4112.848306179047,3879.1677017211914,4248.138637065887,4233.532713890076,4058.620027780533,0.9222722675307957,0.9316293619424054,0.9315368083043003,0.9288043729136056,0.9307504577295913,0.9197353638746723,0.9142509135200974,0.8791795448159594,0.9025958561562276,0.9215635516438001,0.8714,0.8592,0.828,0.8364,0.8788
"('0.01', '10000000.0', 'None', 'YandYZ', 'None', '1')",3873.5711913108826,4312.14005112648,4121.481307983398,4067.319645166397,4308.310278177261,0.9334005763956418,0.9428180688876341,0.943273924933864,0.9416520020941349,0.9458325602400148,0.9299874529485571,0.9189587426326129,0.9015172413793103,0.9083932853717026,0.9306101073579471,0.8884,0.868,0.8572,0.8472,0.894
