,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.005', '10', 'None', 'ZandYZ', 'Balanced')",10701.618230819702,9872.232896089554,11457.771767377853,10981.832509040833,10091.945109128952,0.8773427102111935,0.8880831168831169,0.8937196540287216,0.8838480288675348,0.8871587157665526,0.8683005655803933,0.8780291873075379,0.8354909090909092,0.8829842931937173,0.8653231410701876,0.8044,0.8178,0.7738,0.8212,0.8062
"('0.005', '100', 'None', 'ZandYZ', 'Balanced')",10444.327028512955,9414.792452812195,10274.324049472809,11412.3049762249,9649.664681434631,0.9156958681738772,0.925850028232637,0.9266658739742822,0.9224096059986827,0.9255918102286371,0.894658553076403,0.915245410753808,0.7783158881424778,0.9128840561385764,0.8772532188841201,0.8442,0.8698,0.7162,0.8622,0.8284
"('0.005', '500', 'None', 'ZandYZ', 'Balanced')",10612.877789497375,10520.058675050735,12963.769574403763,10321.037311553955,11079.878614902496,0.9226635125583851,0.931249237718803,0.9333435054552587,0.9297543895203193,0.931984489705898,0.902087542087542,0.9204501358168412,0.789465530596437,0.9175192623468487,0.8823191733639494,0.8546,0.877,0.7282,0.8694,0.836
"('0.005', '1000', 'None', 'ZandYZ', 'Balanced')",10212.827841758728,9563.142764806747,13449.842675209045,11192.400260686874,9751.63947892189,0.9242440495926871,0.9321858836815358,0.9347307171277226,0.931547013887716,0.9332351504818852,0.9031737493275955,0.9212058481045414,0.8006139677666921,0.918036933974197,0.8820910527071664,0.856,0.8782,0.7402,0.8704,0.8358
"('0.005', '10000', 'None', 'ZandYZ', 'Balanced')",10859.610799789429,9952.011640310287,11194.322377681732,11498.493637800217,10760.996998786926,0.9267935275766214,0.9337987577639753,0.9368182931408511,0.9344972669289964,0.935400832840304,0.9049919484702094,0.9229172073708799,0.8114928549711158,0.9215536938309217,0.8852599914052429,0.8584,0.8812,0.752,0.8764,0.8398
"('0.01', '10', 'None', 'ZandYZ', 'Balanced')",10487.28833603859,10133.24207687378,10389.262843132019,14334.879093885422,9712.674383163452,0.9083295485891495,0.9189829474872953,0.9197506638798718,0.9149488569514577,0.9181491095715371,0.8874136295894864,0.9113061705751344,0.7846726652187404,0.9086973131287406,0.8749821810406272,0.8338,0.8646,0.7224,0.8566,0.8246
"('0.01', '100', 'None', 'ZandYZ', 'Balanced')",10450.772825479507,12100.261350154877,9852.551182031631,9431.574225664139,10678.216594457626,0.9221380600376524,0.9309603613777527,0.9330333015569076,0.9292430153288411,0.9316958925114389,0.9030262273032952,0.9203516938194982,0.7868343424934015,0.916656159374606,0.8830015752541888,0.8558,0.8768,0.7254,0.8678,0.8366
"('0.01', '500', 'None', 'ZandYZ', 'Balanced')",10662.451494693756,13380.685621500015,10112.59852385521,9499.358414411545,9685.186853408813,0.9256026102196452,0.9329034443817052,0.9360675263942508,0.9333731894460112,0.9347654376525036,0.904870521937475,0.922778424524641,0.8052583307856924,0.9192672141503474,0.8849734994986392,0.8582,0.8806,0.7452,0.8722,0.8394
"('0.01', '1000', 'None', 'ZandYZ', 'Balanced')",10385.525312185287,11165.224420070648,11283.015187501907,9877.441170692444,11161.057453632355,0.9263690789650885,0.9334502540937324,0.9367362746802826,0.9343450481031754,0.9354150548400311,0.9054325955734407,0.9227979274611399,0.8096253426743831,0.9198482932996208,0.8857388316151202,0.859,0.8808,0.75,0.8732,0.8404
"('0.01', '10000', 'None', 'ZandYZ', 'Balanced')",10974.39860200882,12596.982871055603,9258.87597155571,9541.9459400177,10165.265511989594,0.9292278378847785,0.9356092603049124,0.9388009405088948,0.9367134469345131,0.938036716389695,0.9065595716198126,0.9244352116333421,0.8149719654493105,0.9221814500822473,0.8881268752678955,0.8604,0.8836,0.7558,0.877,0.8434
"('0.05', '10', 'None', 'ZandYZ', 'Balanced')",10510.549617767334,11361.56079339981,9628.858079433441,9886.362984657288,9798.464486837387,0.9243225307910998,0.9326450592885376,0.9364893028911965,0.9330905938448202,0.9356248840360022,0.9060286058013636,0.9212324352198015,0.797353438990614,0.9181476846057572,0.8888255416191563,0.8594,0.8778,0.7366,0.8692,0.844
